class,winner,rows
ddos,flood,800
dos,flood,798
brute_force,bf_bot,797
benign,benign,787
infiltration,benign,718
bot,bf_bot,535
web_attacks,tail,144
infiltration,tail,77
web_attacks,bf_bot,31
web_attacks,benign,16
bot,benign,15
benign,tail,13
bot,tail,11
web_attacks,flood,6
infiltration,bf_bot,5
brute_force,flood,3
dos,tail,2
