backbone,selector,primary,class,n,argmin_correct,avg_correct,oracle_view_correct,score_mean_a100,recall_a100,pick_share_a100,score_mean_a050,recall_a050,pick_share_a050,score_mean_a000,recall_a000,pick_share_a000
tabpfn,energy,False,__all__,4023102,0.9503,0.9842,0.9863,0.0027,0.9849,0.1142,0.0017,0.9833,0.0071,0.0003,0.95,0.8788
tabpfn,energy,False,benign,3502925,0.9559,0.9954,0.9965,0.0031,0.9962,0.0014,0.0018,0.994,0.002,0.0002,0.9558,0.9966
tabpfn,energy,False,bot,41540,1.0,1.0,1.0,-0.0002,1.0,0.9946,0.0002,1.0,0.0039,0.0008,1.0,0.0015
tabpfn,energy,False,brute_force,115038,1.0,1.0,1.0,-0.0002,1.0,0.8795,-0.0001,1.0,0.1205,0.0006,1.0,0.0
tabpfn,energy,False,ddos,264869,0.9854,0.9862,0.9941,0.0002,0.9881,0.9835,0.001,0.9937,0.0016,0.0013,0.9816,0.0149
tabpfn,energy,False,dos,60593,0.6516,0.6516,0.6516,-0.0002,0.6514,0.8298,-0.0,0.6515,0.0986,0.0004,0.6516,0.0715
tabpfn,energy,False,infiltration,37630,0.4649,0.3984,0.4751,0.0018,0.3957,0.0257,0.0012,0.3981,0.0264,-0.0,0.4642,0.9479
tabpfn,energy,False,web_attacks,507,0.2702,0.357,0.5858,0.0014,0.0809,0.2663,0.0004,0.2091,0.1972,0.0,0.5799,0.5365
tabpfn,nmaxp,True,__all__,4023102,0.9842,0.9842,0.9863,0.0207,0.9849,0.8026,0.0859,0.9833,0.0234,0.24,0.95,0.174
tabpfn,nmaxp,True,benign,3502925,0.9955,0.9954,0.9965,0.0148,0.9962,0.7961,0.0809,0.994,0.017,0.2606,0.9558,0.1869
tabpfn,nmaxp,True,bot,41540,1.0,1.0,1.0,0.0001,1.0,0.9813,0.0038,1.0,0.0015,0.001,1.0,0.0172
tabpfn,nmaxp,True,brute_force,115038,1.0,1.0,1.0,0.171,1.0,0.9989,0.3336,1.0,0.001,0.2492,1.0,0.0
tabpfn,nmaxp,True,ddos,264869,0.9862,0.9862,0.9941,0.0127,0.9881,0.8334,0.0118,0.9937,0.1093,0.0101,0.9816,0.0573
tabpfn,nmaxp,True,dos,60593,0.6516,0.6516,0.6516,0.0912,0.6514,0.6607,0.1862,0.6515,0.0556,0.1332,0.6516,0.2836
tabpfn,nmaxp,True,infiltration,37630,0.3967,0.3984,0.4751,0.0747,0.3957,0.6211,0.2457,0.3981,0.0584,0.3419,0.4642,0.3205
tabpfn,nmaxp,True,web_attacks,507,0.355,0.357,0.5858,0.2441,0.0809,0.643,0.5322,0.2091,0.002,0.3546,0.5799,0.355
tabpfn,nmargin,False,__all__,4023102,0.9842,0.9842,0.9863,-5.7102,0.9849,0.807,-3.8742,0.9833,0.021,-3.4876,0.95,0.172
tabpfn,nmargin,False,benign,3502925,0.9955,0.9954,0.9965,-5.5308,0.9962,0.8606,-3.5196,0.994,0.0159,-2.8822,0.9558,0.1235
tabpfn,nmargin,False,bot,41540,1.0,1.0,1.0,-9.9081,1.0,0.6969,-6.3365,1.0,0.0004,-10.1141,1.0,0.3026
tabpfn,nmargin,False,brute_force,115038,1.0,1.0,1.0,-4.1177,1.0,0.8472,-3.6288,1.0,0.0517,-3.8603,1.0,0.1011
tabpfn,nmargin,False,ddos,264869,0.9855,0.9862,0.9941,-8.6036,0.9881,0.2172,-8.5624,0.9937,0.076,-9.7179,0.9816,0.7068
tabpfn,nmargin,False,dos,60593,0.6516,0.6516,0.6516,-5.0266,0.6514,0.4089,-3.9832,0.6515,0.0045,-6.5831,0.6516,0.5866
