arm,split,rows,macro_f1,tail_f1,benign_fpr,accuracy,delta_macro_f1,delta_tail_f1,delta_benign_fpr,proposed,accepted,logical_expert_calls,diagnostic_all_expert_policy,changed,helpful,harmful
legacy,cal_confirm,51593,0.8003979349166579,0.8424281104847002,0.004184100418409997,0.9137673715426511,0.03160132923447401,0.0,0.0,51593,766,51593,False,490,488,0
global,full_test,2271723,0.6839403503794164,0.09774386657446563,0.13987568354380586,0.8875690390069564,0.0,0.0,0.0,0,0,0,False,0,0,0
correctness_oracle,full_test,2271723,0.7827987974671419,0.10688653926923472,0.12468680094037721,0.917994843561473,0.09885844708772551,0.009142672694769094,-0.015188882603428655,0,69119,0,False,69119,69119,0
expert1_always,full_test,2271723,0.6722206727100357,0.08209096738505585,0.1842905998906601,0.8712254971226686,-0.011719677669380646,-0.015652899189409777,0.04441491634685424,0,140929,0,False,140929,44512,81640
expert2_always,full_test,2271723,0.6732922578301055,0.07553143376793767,0.20551759408859238,0.8577093245963526,-0.010648092549310872,-0.02221243280652796,0.06564191054478652,0,182884,0,False,182884,50311,118144
expert3_always,full_test,2271723,0.6726074247290939,0.03437976767492891,0.1968002485243865,0.8660241587552708,-0.011332925650322512,-0.06336409889953672,0.05692456498058063,0,180025,0,False,180025,56337,105281
expert4_always,full_test,2271723,0.6218531557833307,0.07891407223658202,0.19500889234363106,0.8593503697413813,-0.06208719459608569,-0.018829794337883607,0.055133208799825195,0,193215,0,False,193215,40178,104283
expert5_always,full_test,2271723,0.6629123333662025,0.06577530232496961,0.2819870013063809,0.8109694711899295,-0.021028017013213884,-0.03196856424949601,0.14211131776257502,0,303270,0,False,303270,60930,234943
expert6_always,full_test,2271723,0.6244062476376947,0.08186298002097278,0.26381704698223296,0.8096735385432114,-0.05953410274172166,-0.015880886553492846,0.1239413634384271,0,275924,0,False,275924,31793,208750
expert7_always,full_test,2271723,0.6690932736438092,0.04906951584511836,0.19777833849509807,0.8645068082684376,-0.014847076735607145,-0.04867435072934727,0.05790265495129221,0,172526,0,False,172526,56497,108888
legacy,full_test,2271723,0.7061900365640933,0.09774386657446563,0.13988178812753427,0.8879594915401218,0.02224968618467693,0.0,6.104583728405721e-06,2271723,1353,2271723,False,905,896,9
