expert,class,rows,helpful,harmful,neutral
1,backdoor,30130,2,0,30128
1,benign,100000,83,25,99892
1,ddos,100000,99,9,99892
1,dos,17072,50,93,16929
1,injection,50363,367,471,49525
1,mitm,822,0,0,822
1,password,100000,125,2,99873
1,ransomware,539,4,2,533
1,scanning,4471,3282,1,1188
1,xss,100000,4997,93,94910
2,backdoor,30130,2,0,30128
2,benign,100000,0,629,99371
2,ddos,100000,24,72,99904
2,dos,17072,17,330,16725
2,injection,50363,503,243,49617
2,mitm,822,1,0,821
2,password,100000,72,213,99715
2,ransomware,539,5,0,534
2,scanning,4471,3827,1,643
2,xss,100000,5405,291,94304
3,backdoor,30130,2,0,30128
3,benign,100000,0,694,99306
3,ddos,100000,53,45,99902
3,dos,17072,51,235,16786
3,injection,50363,442,201,49720
3,mitm,822,0,0,822
3,password,100000,92,154,99754
3,ransomware,539,4,0,535
3,scanning,4471,2936,1,1534
3,xss,100000,6952,378,92670
4,backdoor,30130,2,0,30128
4,benign,100000,0,760,99240
4,ddos,100000,61,48,99891
4,dos,17072,527,0,16545
4,injection,50363,403,304,49656
4,mitm,822,0,0,822
4,password,100000,75,218,99707
4,ransomware,539,4,0,535
4,scanning,4471,3035,1,1435
4,xss,100000,3057,332,96611
5,backdoor,30130,2,0,30128
5,benign,100000,1,4666,95333
5,ddos,100000,79,358,99563
5,dos,17072,134,0,16938
5,injection,50363,327,2721,47315
5,mitm,822,0,0,822
5,password,100000,106,1953,97941
5,ransomware,539,0,0,539
5,scanning,4471,2855,1,1615
5,xss,100000,8036,25,91939
6,backdoor,30130,2,0,30128
6,benign,100000,0,8128,91872
6,ddos,100000,18,229,99753
6,dos,17072,15,64,16993
6,injection,50363,1453,59,48851
6,mitm,822,0,0,822
6,password,100000,93,1110,98797
6,ransomware,539,4,0,535
6,scanning,4471,3135,1,1335
6,xss,100000,983,1213,97804
7,backdoor,30130,2,0,30128
7,benign,100000,3,813,99184
7,ddos,100000,79,66,99855
7,dos,17072,52,327,16693
7,injection,50363,532,97,49734
7,mitm,822,0,0,822
7,password,100000,97,157,99746
7,ransomware,539,5,0,534
7,scanning,4471,3126,1,1344
7,xss,100000,6778,571,92651
