class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
backdoor,18,8,0.4444444444444444,0
benign,22393,19306,0.862144420131291,0
ddos,2208,2045,0.926177536231884,0
dos,332,62,0.18674698795180722,0
injection,2558,367,0.1434714620797498,0
mitm,94,88,0.9361702127659575,0
password,371,195,0.5256064690026954,0
ransomware,37,9,0.24324324324324326,0
scanning,4956,4889,0.9864810330912026,895
xss,36152,31183,0.8625525558751936,1
