budget,train_rows,fit_s,macro_f1,tail_f1,weighted_f1,brute_f1,ddos_f1,recall_ftp_bruteforce,recall_ssh_bruteforce
full,12069313,505.6,0.754831,0.533111,0.983393,0.915874,0.992058,1.0,0.999469
ctxpool,6034654,328.2,0.724604,0.525726,0.973655,0.724554,0.999407,1.0,0.0
c0,1000000,83.7,0.728331,0.53411,0.974454,0.724554,0.99973,1.0,0.0
