class,rows,proposed,accepted
benign,3502926,2125,2
bot,41542,16265,16226
brute_force,115040,20004,1936
ddos,264872,203509,199013
dos,60594,2121,2120
infiltration,37631,8788,8688
web_attacks,509,228,0
