Class,Baseline_XGBoost_Accuracy,Baseline_XGBoost_F1,Expert_Ensemble_XGBoost_Accuracy,Expert_Ensemble_XGBoost_F1
BENIGN,0.9993881979421737,0.9995157782910202,0.9994410153860148,0.9997101596029994
Bot,0.7262658227848101,0.8300180831826401,1.0,1.0
DDoS,0.9996624691678567,0.9997663005375088,1.0,1.0
DoS GoldenEye,0.9937745740498034,0.9950787401574803,1.0,1.0
DoS Hulk,0.9997820401046208,0.9990054229856186,0.9998692240627725,0.9991433134891825
DoS Slowhttptest,0.9927797833935018,0.9939759036144579,0.9957882069795427,0.997588908981314
DoS slowloris,0.9966024915062288,0.9974497024652876,0.9988674971687429,0.9971735443753533
FTP-Patator,0.9995742869306088,0.9997870981477539,1.0,1.0
Heartbleed,1.0,1.0,1.0,1.0
Infiltration,0.35714285714285715,0.5263157894736842,1.0,1.0
PortScan,0.9996639855513787,0.9968691427314897,0.9996849864544175,0.9968900849205767
SSH-Patator,0.9982363315696648,0.999117387466902,1.0,1.0
Web Attack � Brute Force,0.9498910675381264,0.8320610687022901,0.9956427015250545,0.9956427015250545
Web Attack � Sql Injection,0.0,0.0,1.0,0.8333333333333334
Web Attack � XSS,0.13714285714285715,0.2191780821917808,0.9885714285714285,0.9942528735632183
