expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15861,12761,15861,0,0,0,0,0,15844,17
2,1928019,12761,186000,145101,12030,6937,16450,3912,1570,0
3,290,12761,290,0,0,0,0,0,55,235
