arm,tau_pre,tau_post,delta_macro_f1,delta_tail_f1,delta_benign_fpr,helpful,harmful,changed,feasible,reason
decision_post_raw,-inf,0.0,-0.0010559352594944338,0.009321382549783097,0.07122060470323621,2250,1590,3845,False,benign_fpr
decision_post_raw,-inf,0.0002867408038582,-0.0010276292426163458,0.009348087269292205,0.07099664053750276,2246,1585,3836,False,benign_fpr
decision_post_raw,-inf,0.0053338916040956,-0.000730608700669988,0.009655229832477796,0.06880179171331502,2210,1536,3751,False,benign_fpr
decision_post_raw,-inf,0.0190883897244928,0.00025725645953211806,0.011044288025093052,0.06356103023515236,2117,1419,3541,False,benign_fpr
decision_post_raw,-inf,0.025076736696064472,0.0007817947153997418,0.011696119616238732,0.06029115341544411,2071,1346,3422,False,benign_fpr
decision_post_raw,-inf,0.21494646966457345,0.011563639416575122,0.028754577818205285,0.0122732362821929,1091,274,1369,False,benign_fpr
decision_post_raw,-inf,0.6335415244102478,0.016014861582153372,0.03752009043278226,0.002105263157894277,765,47,814,False,benign_fpr
decision_post_raw,-inf,0.8705101013183594,0.016009313475244924,0.03734662635217206,0.0009854423292271486,660,22,683,False,benign_fpr
decision_post_raw,-inf,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,-inf,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,-inf,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,-inf,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,-inf,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,0.0,0.0,-0.0010559352594944338,0.009321382549783097,0.07122060470323621,2250,1590,3845,False,benign_fpr
decision_post_raw,0.0,0.0002867408038582,-0.0010276292426163458,0.009348087269292205,0.07099664053750276,2246,1585,3836,False,benign_fpr
decision_post_raw,0.0,0.0053338916040956,-0.000730608700669988,0.009655229832477796,0.06880179171331502,2210,1536,3751,False,benign_fpr
decision_post_raw,0.0,0.0190883897244928,0.00025725645953211806,0.011044288025093052,0.06356103023515236,2117,1419,3541,False,benign_fpr
decision_post_raw,0.0,0.025076736696064472,0.0007817947153997418,0.011696119616238732,0.06029115341544411,2071,1346,3422,False,benign_fpr
decision_post_raw,0.0,0.21494646966457345,0.011563639416575122,0.028754577818205285,0.0122732362821929,1091,274,1369,False,benign_fpr
decision_post_raw,0.0,0.6335415244102478,0.016014861582153372,0.03752009043278226,0.002105263157894277,765,47,814,False,benign_fpr
decision_post_raw,0.0,0.8705101013183594,0.016009313475244924,0.03734662635217206,0.0009854423292271486,660,22,683,False,benign_fpr
decision_post_raw,0.0,0.929574728012085,0.005404618143108664,0.012595165237061279,0.00022396416573333688,202,5,207,True,
decision_post_raw,0.0,0.9631971716880798,0.003524450439972404,0.008212035175691912,0.00013437849943997993,130,3,133,True,
decision_post_raw,0.0,0.9705747365951538,0.0018178277987781488,0.004231736382836915,4.479283314662297e-05,66,1,67,True,
decision_post_raw,0.0,0.9774828553199768,0.00033579001982486645,0.0007803507157431167,0.0,12,0,12,False,support
decision_post_raw,0.0,0.9825287461280823,0.0,0.0,0.0,0,0,0,False,support
decision_post_raw,2.8237389415153306e-05,0.0,-0.0010559352594944338,0.009321382549783097,0.07122060470323621,2250,1590,3845,False,benign_fpr
