expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.9189,1740,14649,0.799,0.0144
2,202122,0.6459,47610,23970,0.5888,-0.0455
3,202122,0.6427,2776,69445,0.8009,0.0049
4,202122,0.9077,2054,16608,0.5811,-0.0054
5,202122,0.8277,1824,32992,0.8338,0.1668
6,202122,0.9061,4768,14207,0.5699,0.1373
