K,beta,tune_expert_balanced_nll
2,0.0,2.986549
2,0.5,4.934961
2,1.0,9.236549
4,0.0,1.699027
4,0.5,3.23844
4,1.0,6.814089
8,0.0,1.816379
8,0.5,3.098914
8,1.0,6.538617
