method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.6628,0.6467,0.028,0.002924
global_tabpfn,4023114,0.6517,0.6338,0.0291,0.002602
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
