expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.6697,0.0003,5.1624
2,0.5331,0.0002,11.7131
3,0.749,0.0001,8.8586
4,0.4712,0.0,7.0663
5,0.5536,0.067,5.038
6,0.5154,0.0,7.2748
