a,b,agreement
global,e1,0.4834
global,e2,0.5552
global,e3,0.5272
global,e4,0.5237
global,e5,0.719
global,e6,0.528
e1,e2,0.8157
e1,e3,0.8467
e1,e4,0.9188
e1,e5,0.7529
e1,e6,0.9148
e2,e3,0.9611
e2,e4,0.8502
e2,e5,0.8081
e2,e6,0.8503
e3,e4,0.8806
e3,e5,0.7916
e3,e6,0.8832
e4,e5,0.7922
e4,e6,0.9817
e5,e6,0.7981
