run,score,coverage,rows,balanced_error,classes_present,error_rate,macro_f1
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,1.0,4023114,0.337178,7,0.040777,0.650973
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.99,3982883,0.319979,7,0.035827,0.681267
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.97,3902421,0.393198,7,0.032766,0.587438
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.95,3821958,0.321591,7,0.026147,0.616731
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.9,3620803,0.31003,7,0.020531,0.594795
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.8,3218491,0.300134,7,0.01003,0.606937
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.7,2816180,0.295149,7,0.005868,0.61285
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.5,2011557,0.292932,6,0.001882,0.618118
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,0.3,1206934,0.242809,6,0.000448,0.671387
20260901_122758_nfv3_cic2018_exp25_dump,system_maxprob,AURC_balanced,4023114,0.206011,7,,
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,1.0,4023114,0.348276,7,0.040861,0.666312
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.99,3982883,0.33315,7,0.035969,0.695438
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.97,3902421,0.433131,7,0.033871,0.566846
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.95,3821958,0.390854,7,0.02765,0.568237
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.9,3620803,0.322708,7,0.020846,0.596322
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.8,3218491,0.302448,7,0.01006,0.605812
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.7,2816180,0.297571,7,0.005902,0.61155
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.5,2011557,0.293134,6,0.001891,0.617986
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,0.3,1206934,0.242979,6,0.00045,0.671267
20260901_122758_nfv3_cic2018_exp25_dump,global_maxprob,AURC_balanced,4023114,0.211089,7,,
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,1.0,4023114,0.337178,7,0.040777,0.650973
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.99,3982883,0.32606,7,0.039582,0.653461
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.97,3902421,0.324129,7,0.040009,0.655
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.95,3821958,0.322308,7,0.040243,0.656461
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.9,3620803,0.162863,7,0.023922,0.700214
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.8,3218491,0.358383,6,0.00575,0.402554
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.7,2816180,0.358403,6,0.006308,0.404631
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.5,2011557,0.358446,6,0.007969,0.410221
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,0.3,1206934,0.358501,6,0.011569,0.418563
20260901_122758_nfv3_cic2018_exp25_dump,system_glower,AURC_balanced,4023114,0.233693,7,,
