context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.870697,0.010326,0.028596,0.065838,0.015062,0.009355,0.000127
expert1,0.070314,0.070314,0.070314,0.070314,0.070314,0.621653,0.026776
expert2,0.058955,0.058955,0.058955,0.058955,0.682773,0.058955,0.022451
expert3,0.037594,0.037075,0.770414,0.037075,0.042597,0.061125,0.014119
expert4,0.15502,0.15502,0.15502,0.15502,0.15502,0.15502,0.069879
expert5,0.614837,0.113761,0.010067,0.228789,0.010067,0.018645,0.003834
expert6,0.181661,0.150519,0.150519,0.150519,0.150519,0.150519,0.065744
