class,rows,proposed,accepted
benign,3502926,220760,2279
bot,41542,8387,0
brute_force,115040,37696,1000
ddos,264872,111130,492
dos,60594,10788,10353
infiltration,37631,14745,8354
web_attacks,509,215,32
