run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260901_122758_nfv3_cic2018_exp25_dump,ALL,4023114,403721,0.10035,22510,0.055756,381211,0.944244,1.10035
20260901_122758_nfv3_cic2018_exp25_dump,benign,3502926,220760,0.063022,2279,0.010323,218481,0.989677,1.063022
20260901_122758_nfv3_cic2018_exp25_dump,bot,41542,8387,0.201892,0,0.0,8387,1.0,1.201892
20260901_122758_nfv3_cic2018_exp25_dump,brute_force,115040,37696,0.327677,1000,0.026528,36696,0.973472,1.327677
20260901_122758_nfv3_cic2018_exp25_dump,ddos,264872,111130,0.419561,492,0.004427,110638,0.995573,1.419561
20260901_122758_nfv3_cic2018_exp25_dump,dos,60594,10788,0.178037,10353,0.959677,435,0.040323,1.178037
20260901_122758_nfv3_cic2018_exp25_dump,infiltration,37631,14745,0.391831,8354,0.566565,6391,0.433435,1.391831
20260901_122758_nfv3_cic2018_exp25_dump,web_attacks,509,215,0.422397,32,0.148837,183,0.851163,1.422397
20260901_122758_nfv3_cic2018_exp25_dump,expert1,15662,15662,,11097,0.70853,4565,0.29147,
20260901_122758_nfv3_cic2018_exp25_dump,expert2,23868,23868,,1072,0.044914,22796,0.955086,
20260901_122758_nfv3_cic2018_exp25_dump,expert3,125481,125481,,3366,0.026825,122115,0.973175,
20260901_122758_nfv3_cic2018_exp25_dump,expert4,118235,118235,,366,0.003096,117869,0.996904,
20260901_122758_nfv3_cic2018_exp25_dump,expert5,64366,64366,,55,0.000854,64311,0.999146,
20260901_122758_nfv3_cic2018_exp25_dump,expert6,56109,56109,,6554,0.116808,49555,0.883192,
20260901_122758_nfv3_cic2018_exp25_dump,MEASURED_COMPUTE,,,,,,,,2.0375
