a,b,gain_pearson_r
e1,e2,0.9556
e1,e3,0.9574
e1,e4,0.9873
e1,e5,0.7694
e1,e6,0.9443
e2,e3,0.9882
e2,e4,0.9766
e2,e5,0.7148
e2,e6,0.9364
e3,e4,0.9759
e3,e5,0.7427
e3,e6,0.936
e4,e5,0.7618
e4,e6,0.9519
e5,e6,0.7371
