expert,proposed,accepted,accept_rate
1,15662,11097,0.7085
2,23868,1072,0.0449
3,125481,3366,0.0268
4,118235,366,0.0031
5,64366,55,0.0009
6,56109,6554,0.1168
total,403721,22510,0.005595168319863668
