class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,134151,122980,-11171,3493812,3492682
bot,5,7,2,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,9,10,1,214819,215056
dos,2,5,3,19081,20256
infiltration,7029,8858,1829,12026,12054
web_attacks,2082,11079,8997,229,258
