expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15690,12761,15690,0,0,0,0,0,15690,0
2,21173,12761,21173,0,0,0,0,21173,0,0
3,41203,12761,41203,28,0,39579,0,298,1298,0
4,140,12761,140,0,0,0,0,0,0,140
5,1894972,12761,186000,120209,20611,0,43475,0,1705,0
6,526,12761,526,414,0,0,0,0,0,112
