cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,15690,0.2819067772519077,43.962850706552885,0,0,0,0,0,15690,0
1,21173,0.15934706764278658,17.479460836291135,0,0,0,0,21173,0,0
2,41203,0.08352941978656714,4.708439349662016,28,0,39579,0,298,1298,0
3,140,0.002719882544798013,2342.71977680542,0,0,0,0,0,0,140
4,1894972,0.013355386968311905,0.01649028325486804,1740942,20651,0,131674,0,1705,0
5,526,0.0022036377171749037,10.476180639835624,414,0,0,0,0,0,112
