true_unseen_class,baseline_pred_source_class,baseline_pred_original_class,support,count,rate
bot,normal,normal,1956,1956,1.0
ddos,dos-hulk,dos-hulk,128025,80333,0.6274790080062488
ddos,normal,normal,128025,46614,0.36410076157000587
ddos,dos-goldeneye,dos-goldeneye,128025,1078,0.008420230423745362
portscan,normal,normal,158804,143053,0.9008148409359966
portscan,ssh-patator,ssh-patator,158804,15393,0.09693080778821692
portscan,dos-slowloris,dos-slowloris,158804,207,0.0013034936147704088
portscan,dos-hulk,dos-hulk,158804,113,0.0007115689781113826
portscan,dos-goldeneye,dos-goldeneye,158804,29,0.00018261504747991235
portscan,web-attack-brute-force,web-attack-brute-force,158804,9,5.667363542480038e-05
