id_quantile_tau,threshold,id_retain,unseen_attack_detect,unseen_attack_in,friday_benign_false_ood
0.01,4.246931076049805,0.9899984001204615,0.20722336686462248,0.7927766331353775,0.006834439389949582
0.02,4.641903400421143,0.9799991530049502,0.21829734923905328,0.7817026507609467,0.01338139264083801
0.05,5.514969348907471,0.9499990588943892,0.2556088439496511,0.7443911560503489,0.05707203822840894
0.1,6.978498935699463,0.8999981177887783,0.2835881365029347,0.7164118634970653,0.11257860571638405
0.2,7.6114726066589355,0.7999985883415837,0.2920061637550427,0.7079938362449574,0.21993172808159775
0.3,8.091791152954102,0.6999990588943892,0.33599390550063196,0.6640060944993681,0.33391877429439065
0.4,8.580485343933105,0.5999995294471946,0.36217255051335767,0.6378274494866423,0.4533414828003566
0.5,9.265649795532227,0.5,0.43374482746680054,0.5662551725331995,0.5783182302449913
0.6,9.8512544631958,0.4000004705528054,0.5911179597278252,0.4088820402721748,0.6659338588612167
0.7,10.273322105407715,0.3000009411056109,0.7264123829146251,0.27358761708537493,0.7667472755252661
0.8,10.570900917053223,0.2000014116584163,0.7269352632581332,0.27306473674186676,0.8838821741682833
0.9,10.931600570678711,0.10000188221122175,0.7282684349948924,0.2717315650051076,0.9971492971084692
