expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,4645,12761,4645,0,0,0,0,0,4645,0
2,72809,12761,72809,14998,14993,14999,14999,9765,2893,162
3,132,12761,132,0,0,0,0,0,0,132
4,7459,12761,7459,0,0,0,0,1,7458,0
