a,b,agreement
global,e1,0.8241
global,e2,0.9895
global,e3,0.851
global,e4,0.8611
e1,e2,0.82
e1,e3,0.9477
e1,e4,0.9349
e2,e3,0.8468
e2,e4,0.8607
e3,e4,0.9812
