context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.16597,0.16597,0.165964,0.165964,0.165953,0.16597,0.00421
C0,0.749788,0.054481,0.054481,0.054431,0.035488,0.049933,0.0014
expert1,0.114914,0.114914,0.114914,0.114914,0.114914,0.381669,0.04376
expert2,0.19864,0.198581,0.198652,0.198652,0.13749,0.057188,0.010797
expert3,0.155116,0.155116,0.155116,0.155116,0.155116,0.155116,0.069302
expert4,0.098927,0.098927,0.098927,0.098927,0.098977,0.467642,0.037672
