cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,4645,0.154997719614995,2.245214281872439,0,0,0,0,0,4645,0
1,72809,0.025294641037217836,0.023375540417769996,14998,14993,14999,14999,9765,2893,162
2,132,0.015202348642866017,133.99906221582887,0,0,0,0,0,0,132
3,7459,0.19179054842239224,1.7300744784579023,0,0,0,0,1,7458,0
