round,expert,coverage,regime_tune_rows,marginal,action
0,1,0.249,0,,dropped(min-support)
0,3,0.2269,47,,dropped(min-support)
0,4,0.0846,0,,dropped(min-support)
0,5,0.1446,0,,dropped(min-support)
0,2,0.3927,1021,0.4365,kept(prune off)
0,6,0.1182,18266,0.0016,kept(prune off)
0,7,0.3307,60,0.538,kept(prune off)
0,8,0.109,373,0.1593,kept(prune off)
