K,beta,tune_expert_balanced_nll
2,0.0,0.188227
2,0.5,0.208534
2,1.0,0.244085
4,0.0,0.19849
4,0.5,0.222787
4,1.0,0.270163
8,0.0,0.219454
8,0.5,0.235808
8,1.0,0.282593
