expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,48196,normgain,0.6267,3693,14297,0.7281,-0.0374
2,48196,normgain,0.874,6,6067,0.725,-0.0496
3,48196,normgain,0.7209,117,13333,0.6449,-0.2236
4,48196,normgain,0.8732,9,6100,0.6467,-0.1609
