class_a,class_b,distance
web-attack-brute-force,web-attack-xss,0.08251942694187164
ssh-patator,web-attack-brute-force,0.21198926866054535
ftp-patator,portscan,0.23383821547031403
bot,ssh-patator,0.23668664693832397
ssh-patator,web-attack-xss,0.2576252818107605
ftp-patator,ssh-patator,0.2754351496696472
normal,web-attack-sql-injection,0.28165537118911743
bot,ftp-patator,0.337189257144928
bot,web-attack-brute-force,0.37294313311576843
bot,web-attack-xss,0.44670671224594116
bot,portscan,0.4619525372982025
normal,web-attack-xss,0.46306759119033813
ftp-patator,web-attack-brute-force,0.48369288444519043
portscan,ssh-patator,0.49274197220802307
ftp-patator,web-attack-xss,0.5134109258651733
normal,web-attack-brute-force,0.5266911387443542
dos-slowhttptest,dos-slowloris,0.6559147238731384
portscan,web-attack-brute-force,0.7047149538993835
normal,ssh-patator,0.7198809385299683
web-attack-sql-injection,web-attack-xss,0.7352725863456726
portscan,web-attack-xss,0.7422555685043335
web-attack-brute-force,web-attack-sql-injection,0.791038453578949
ddos,dos-goldeneye,0.8352904319763184
bot,normal,0.89788419008255
ftp-patator,normal,0.9588691592216492
ssh-patator,web-attack-sql-injection,0.9928382039070129
bot,web-attack-sql-injection,1.1542527675628662
normal,portscan,1.192259430885315
dos-goldeneye,dos-slowhttptest,1.211452841758728
ftp-patator,web-attack-sql-injection,1.2387266159057617
portscan,web-attack-sql-injection,1.4716171026229858
dos-hulk,dos-slowloris,1.5293101072311401
dos-goldeneye,dos-slowloris,1.6898159980773926
dos-hulk,dos-slowhttptest,1.995477557182312
ddos,dos-slowhttptest,2.0206477642059326
ddos,dos-slowloris,2.525076389312744
dos-goldeneye,dos-hulk,3.180023193359375
ddos,web-attack-sql-injection,3.467545986175537
ddos,normal,3.741591691970825
ddos,dos-hulk,4.006990432739258
ddos,web-attack-xss,4.202396869659424
ddos,web-attack-brute-force,4.258003234863281
dos-goldeneye,web-attack-sql-injection,4.290010929107666
heartbleed,infiltration,4.345047950744629
ddos,ssh-patator,4.460018157958984
dos-goldeneye,normal,4.561362266540527
bot,ddos,4.614364147186279
ddos,ftp-patator,4.696976661682129
ddos,portscan,4.930809020996094
dos-goldeneye,web-attack-xss,5.0235137939453125
dos-goldeneye,web-attack-brute-force,5.0810418128967285
dos-goldeneye,ssh-patator,5.280951499938965
dos-slowhttptest,infiltration,5.4271464347839355
bot,dos-goldeneye,5.440309047698975
dos-slowhttptest,web-attack-sql-injection,5.488189697265625
dos-goldeneye,ftp-patator,5.513084888458252
dos-hulk,infiltration,5.6697845458984375
dos-goldeneye,portscan,5.746725082397461
dos-slowhttptest,normal,5.761960506439209
dos-slowloris,infiltration,5.821245193481445
dos-goldeneye,infiltration,5.928326606750488
dos-slowloris,web-attack-sql-injection,5.96669864654541
ddos,infiltration,6.146198749542236
dos-slowhttptest,web-attack-xss,6.222988128662109
dos-slowloris,normal,6.234554290771484
dos-slowhttptest,web-attack-brute-force,6.278632164001465
dos-slowhttptest,ssh-patator,6.4806036949157715
bot,dos-slowhttptest,6.634374141693115
dos-slowloris,web-attack-xss,6.697520732879639
dos-slowhttptest,ftp-patator,6.716487884521484
dos-slowloris,web-attack-brute-force,6.757262229919434
dos-slowhttptest,portscan,6.950284481048584
dos-slowloris,ssh-patator,6.95437479019165
bot,dos-slowloris,7.119658470153809
dos-slowloris,ftp-patator,7.180176258087158
dos-slowloris,portscan,7.413178443908691
dos-hulk,web-attack-sql-injection,7.470032691955566
dos-hulk,normal,7.741147994995117
dos-hulk,web-attack-xss,8.203442573547363
dos-hulk,web-attack-brute-force,8.261061668395996
infiltration,web-attack-sql-injection,8.436946868896484
dos-hulk,ssh-patator,8.460838317871094
bot,dos-hulk,8.619894027709961
dos-hulk,ftp-patator,8.691556930541992
infiltration,normal,8.692646980285645
dos-hulk,portscan,8.925033569335938
infiltration,web-attack-xss,9.035526275634766
infiltration,web-attack-brute-force,9.044614791870117
infiltration,ssh-patator,9.246325492858887
bot,infiltration,9.26838207244873
ftp-patator,infiltration,9.521289825439453
dos-hulk,heartbleed,9.526815414428711
dos-slowhttptest,heartbleed,9.68195915222168
infiltration,portscan,9.718929290771484
dos-slowloris,heartbleed,9.99923038482666
dos-goldeneye,heartbleed,10.265562057495117
ddos,heartbleed,10.487432479858398
heartbleed,web-attack-sql-injection,12.532354354858398
heartbleed,normal,12.768744468688965
heartbleed,web-attack-brute-force,13.059011459350586
heartbleed,web-attack-xss,13.06242561340332
bot,heartbleed,13.233397483825684
heartbleed,ssh-patator,13.248419761657715
ftp-patator,heartbleed,13.517790794372559
heartbleed,portscan,13.694334030151367
