component,explained_variance_ratio
1,0.19955869
2,0.11145744
3,0.09917779
4,0.06584537
5,0.04521647
6,0.044121888
7,0.040700633
8,0.03601812
9,0.034272593
10,0.028958952
11,0.028538384
12,0.028469808
13,0.024372771
14,0.0228867
15,0.017797215
16,0.01759912
17,0.016349684
18,0.015283747
19,0.013737468
20,0.013211273
