family,Credential,DoS,Friday_OOD,Normal,Rare,Web
Credential,0.0,8.384676,1.85326,0.8542717,7.406614,0.37582368
DoS,8.384676,0.0,6.532197,7.532968,5.152019,8.03546
Friday_OOD,1.85326,6.532197,0.0,1.0007983,6.0062194,1.5048888
Normal,0.8542717,7.532968,1.0007983,0.0,6.708402,0.5069272
Rare,7.406614,5.152019,6.0062194,6.708402,0.0,7.0465503
Web,0.37582368,8.03546,1.5048888,0.5069272,7.0465503,0.0
