family_a,family_b,distance
Credential,Web,0.3758236765861511
Normal,Web,0.5069271922111511
Credential,Normal,0.8542717099189758
Friday_OOD,Normal,1.0007983446121216
Friday_OOD,Web,1.5048887729644775
Credential,Friday_OOD,1.8532600402832031
DoS,Rare,5.152019023895264
Friday_OOD,Rare,6.006219387054443
DoS,Friday_OOD,6.532196998596191
Normal,Rare,6.708402156829834
Rare,Web,7.046550273895264
Credential,Rare,7.406613826751709
DoS,Normal,7.532968044281006
DoS,Web,8.035460472106934
Credential,DoS,8.384675979614258
