class,bot,ddos,dos-goldeneye,dos-hulk,dos-slowhttptest,dos-slowloris,ftp-patator,heartbleed,infiltration,normal,portscan,ssh-patator,web-attack-brute-force,web-attack-sql-injection,web-attack-xss
bot,0.0,4.614364,5.440309,8.619894,6.634374,7.1196585,0.33718926,13.2333975,9.268382,0.8978842,0.46195254,0.23668665,0.37294313,1.1542528,0.4467067
ddos,4.614364,0.0,0.83529043,4.0069904,2.0206478,2.5250764,4.6969767,10.4874325,6.1461987,3.7415917,4.930809,4.460018,4.258003,3.467546,4.202397
dos-goldeneye,5.440309,0.83529043,0.0,3.1800232,1.2114528,1.689816,5.513085,10.265562,5.9283266,4.5613623,5.746725,5.2809515,5.081042,4.290011,5.023514
dos-hulk,8.619894,4.0069904,3.1800232,0.0,1.9954776,1.5293101,8.691557,9.526815,5.6697845,7.741148,8.925034,8.460838,8.261062,7.4700327,8.203443
dos-slowhttptest,6.634374,2.0206478,1.2114528,1.9954776,0.0,0.6559147,6.716488,9.681959,5.4271464,5.7619605,6.9502845,6.4806037,6.278632,5.4881897,6.222988
dos-slowloris,7.1196585,2.5250764,1.689816,1.5293101,0.6559147,0.0,7.1801763,9.99923,5.821245,6.2345543,7.4131784,6.954375,6.757262,5.9666986,6.6975207
ftp-patator,0.33718926,4.6969767,5.513085,8.691557,6.716488,7.1801763,0.0,13.517791,9.52129,0.95886916,0.23383822,0.27543515,0.48369288,1.2387266,0.5134109
heartbleed,13.2333975,10.4874325,10.265562,9.526815,9.681959,9.99923,13.517791,0.0,4.345048,12.768744,13.694334,13.24842,13.059011,12.532354,13.062426
infiltration,9.268382,6.1461987,5.9283266,5.6697845,5.4271464,5.821245,9.52129,4.345048,0.0,8.692647,9.718929,9.2463255,9.044615,8.436947,9.035526
normal,0.8978842,3.7415917,4.5613623,7.741148,5.7619605,6.2345543,0.95886916,12.768744,8.692647,0.0,1.1922594,0.71988094,0.52669114,0.28165537,0.4630676
portscan,0.46195254,4.930809,5.746725,8.925034,6.9502845,7.4131784,0.23383822,13.694334,9.718929,1.1922594,0.0,0.49274197,0.70471495,1.4716171,0.74225557
ssh-patator,0.23668665,4.460018,5.2809515,8.460838,6.4806037,6.954375,0.27543515,13.24842,9.2463255,0.71988094,0.49274197,0.0,0.21198927,0.9928382,0.25762528
web-attack-brute-force,0.37294313,4.258003,5.081042,8.261062,6.278632,6.757262,0.48369288,13.059011,9.044615,0.52669114,0.70471495,0.21198927,0.0,0.79103845,0.08251943
web-attack-sql-injection,1.1542528,3.467546,4.290011,7.4700327,5.4881897,5.9666986,1.2387266,12.532354,8.436947,0.28165537,1.4716171,0.9928382,0.79103845,0.0,0.7352726
web-attack-xss,0.4467067,4.202397,5.023514,8.203443,6.222988,6.6975207,0.5134109,13.062426,9.035526,0.4630676,0.74225557,0.25762528,0.08251943,0.7352726,0.0
