expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,28069,12761,28069,0,12,0,0,10525,17282,250
2,1971931,12761,186000,92088,20016,51462,19221,2304,907,2
