draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,45,0.9927,0.758663,365,False
1,46,0.99188,0.757098,406,False
2,47,0.9931,0.719949,345,True
3,48,0.99196,0.768616,402,False
4,49,0.99118,0.753445,441,False
