expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9181,622,15941,0.6221,0.6443
2,202121,normgain,0.858,10661,18049,0.7691,0.2771
