model,class,support,TP,FP,FN,f1
global_raw,benign,2652203,2644613,10297,7590,0.9966296176471087
global_raw,bot,41542,41418,4,124,0.998457162142616
global_raw,brute_force,37696,37676,0,20,0.9997346494719525
global_raw,ddos,262680,258643,6,4037,0.9922448204492749
global_raw,dos,39483,38868,12,615,0.991998774932047
global_raw,infiltration,8742,2746,7176,5996,0.2942563223317617
global_raw,web_attacks,127,118,896,9,0.20683610867659946
global_calibrated,benign,2652203,2644613,10297,7590,0.9966296176471087
global_calibrated,bot,41542,41418,4,124,0.998457162142616
global_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
global_calibrated,ddos,262680,258643,6,4037,0.9922448204492749
global_calibrated,dos,39483,38868,12,615,0.991998774932047
global_calibrated,infiltration,8742,2746,7176,5996,0.2942563223317617
global_calibrated,web_attacks,127,118,896,9,0.20683610867659946
designed_e1_raw,benign,2652203,2651944,12148,259,0.9976662318400314
designed_e1_raw,bot,41542,41358,4,184,0.9977323168966515
designed_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_raw,ddos,262680,258975,3,3705,0.9928918946896242
designed_e1_raw,dos,39483,38857,2,626,0.9919838656148682
designed_e1_raw,infiltration,8742,1161,328,7581,0.22695728667774412
designed_e1_raw,web_attacks,127,17,0,110,0.2361111111111111
designed_e1_calibrated,benign,2652203,2651944,12148,259,0.9976662318400314
designed_e1_calibrated,bot,41542,41358,4,184,0.9977323168966515
designed_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_calibrated,ddos,262680,258975,3,3705,0.9928918946896242
designed_e1_calibrated,dos,39483,38857,2,626,0.9919838656148682
designed_e1_calibrated,infiltration,8742,1161,328,7581,0.22695728667774412
designed_e1_calibrated,web_attacks,127,17,0,110,0.2361111111111111
designed_e2_raw,benign,2652203,2086659,1635,565544,0.8803545282277364
designed_e2_raw,bot,41542,41422,424,120,0.9934762795606082
designed_e2_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_raw,ddos,262680,262669,9,11,0.9999619307215271
designed_e2_raw,dos,39483,38871,508,612,0.9857979762116101
designed_e2_raw,infiltration,8742,7106,562045,1636,0.024592787938251544
designed_e2_raw,web_attacks,127,122,3327,5,0.06823266219239374
designed_e2_calibrated,benign,2652203,2086659,1635,565544,0.8803545282277364
designed_e2_calibrated,bot,41542,41422,424,120,0.9934762795606082
designed_e2_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_calibrated,ddos,262680,262669,9,11,0.9999619307215271
designed_e2_calibrated,dos,39483,38871,508,612,0.9857979762116101
designed_e2_calibrated,infiltration,8742,7106,562045,1636,0.024592787938251544
designed_e2_calibrated,web_attacks,127,122,3327,5,0.06823266219239374
designed_e3_raw,benign,2652203,1784824,556,867379,0.8044126723939586
designed_e3_raw,bot,41542,41422,29,120,0.9982046678635548
designed_e3_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_raw,ddos,262680,262300,5,380,0.9992666457136871
designed_e3_raw,dos,39483,39221,82,262,0.995633742035387
designed_e3_raw,infiltration,8742,8170,865113,572,0.018525551996825488
designed_e3_raw,web_attacks,127,123,2952,4,0.07682698313554029
designed_e3_calibrated,benign,2652203,1784824,556,867379,0.8044126723939586
designed_e3_calibrated,bot,41542,41422,29,120,0.9982046678635548
designed_e3_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_calibrated,ddos,262680,262300,5,380,0.9992666457136871
designed_e3_calibrated,dos,39483,39221,82,262,0.995633742035387
designed_e3_calibrated,infiltration,8742,8170,865113,572,0.018525551996825488
designed_e3_calibrated,web_attacks,127,123,2952,4,0.07682698313554029
designed_e4_raw,benign,2652203,2033009,1820,619194,0.8675037849112188
designed_e4_raw,bot,41542,41422,61,120,0.9978199337548931
designed_e4_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e4_raw,ddos,262680,262680,53,0,0.9998991269724959
designed_e4_raw,dos,39483,39256,45,227,0.9965475223395613
designed_e4_raw,infiltration,8742,6879,614708,1863,0.021826696851961435
designed_e4_raw,web_attacks,127,123,4741,4,0.049288719695451816
designed_e4_calibrated,benign,2652203,2033009,1820,619194,0.8675037849112188
designed_e4_calibrated,bot,41542,41422,61,120,0.9978199337548931
designed_e4_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
