arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
designed,1,global,2834422,7,0.6003424219480377,0.6003424219480377,0.9965911921372329
designed,1,e1,2834422,7,0.5832877787994172,0.5832877787994172,0.9968102844248315
designed,1,e2,2834422,7,0.4374896249967655,0.4374896249967655,0.8382238071818523
designed,1,e3,2834422,7,0.5474918468941158,0.5474918468941158,0.7353375749976538
designed,1,e4,2834422,7,0.5479413636026134,0.5479413636026134,0.821068634098945
designed,1,region_constant,2834422,7,0.13471415199731074,0.13471415199731074,0.8921459119354845
designed,2,global,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
designed,2,e1,41418,2,0.14274841174917288,0.49961944112210505,0.9984789222077358
designed,2,e2,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
designed,2,e3,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
designed,2,e4,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
designed,2,region_constant,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
designed,3,global,127759,4,0.2648356599605778,0.4634624049310111,0.9317699731525764
designed,3,e1,127759,4,0.34261629024139006,0.5995785079224326,0.973645692279996
designed,3,e2,127759,4,0.057113906318724574,0.099949336057768,0.1437002481234199
designed,3,e3,127759,4,0.04091226278597047,0.07159645987544831,0.07198710071306132
designed,3,e4,127759,4,0.03907345574023443,0.06837854754541026,0.10574597484325958
designed,3,region_constant,127759,4,0.14042001018978473,0.2457350178321233,0.9664524612747438
designed,4,global,38874,2,0.14284244183909736,0.4999485464368407,0.9997942069249369
designed,4,e1,38874,2,0.208765476051444,0.730679166180054,0.9996398621186398
designed,4,e2,38874,2,0.2653024469107889,0.9285585641877612,0.9999485517312342
designed,4,e3,38874,2,0.19998897395280116,0.6999614088348041,0.9998456551937027
designed,4,e4,38874,2,0.14284611680994402,0.4999614088348041,0.9997942069249369
designed,4,region_constant,38874,2,0.14284244183909736,0.4999485464368407,0.9997942069249369
matched_random,1,global,2834422,7,0.6003424219480377,0.6003424219480377,0.9965911921372329
matched_random,1,e1,2834422,7,0.5265261060831079,0.5265261060831079,0.9968737894357298
matched_random,1,e2,2834422,7,0.44137685437968327,0.44137685437968327,0.841624147709833
matched_random,1,e3,2834422,7,0.45264063346264616,0.45264063346264616,0.7491104006390016
matched_random,1,e4,2834422,7,0.5518805866071669,0.5518805866071669,0.8218631523464043
matched_random,1,region_constant,2834422,7,0.13471415199731074,0.13471415199731074,0.8921459119354845
matched_random,2,global,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
matched_random,2,e1,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
matched_random,2,e2,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
matched_random,2,e3,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
matched_random,2,e4,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
matched_random,2,region_constant,41418,2,0.14285024421203676,0.49997585474212863,0.9999034236322372
matched_random,3,global,127759,4,0.2648356599605778,0.4634624049310111,0.9317699731525764
matched_random,3,e1,127759,4,0.2727816192865174,0.4773678337514054,0.9730743039629302
matched_random,3,e2,127759,4,0.05715559635816264,0.10002229362678462,0.13256208955924828
matched_random,3,e3,127759,4,0.03976678239939855,0.06959186919894746,0.0694902120398563
matched_random,3,e4,127759,4,0.04257937589129279,0.07451390780976239,0.11998371934658224
matched_random,3,region_constant,127759,4,0.14042001018978473,0.2457350178321233,0.9664524612747438
matched_random,4,global,38874,2,0.14284244183909736,0.4999485464368407,0.9997942069249369
matched_random,4,e1,38874,2,0.18093216523226943,0.633262578312943,0.9997170345217884
matched_random,4,e2,38874,2,0.19998897395280116,0.6999614088348041,0.9998456551937027
matched_random,4,e3,38874,2,0.14284979196989075,0.4999742718946177,0.9997942069249369
matched_random,4,e4,38874,2,0.14284611680994402,0.4999614088348041,0.9997942069249369
matched_random,4,region_constant,38874,2,0.14284244183909736,0.4999485464368407,0.9997942069249369
