beta,T,tune_balanced_nll
0.0,0.8,4.702752
0.0,1.0,4.111931
0.0,1.25,3.693355
0.5,0.8,10.088763
0.5,1.0,8.297212
0.5,1.25,6.939712
1.0,0.8,17.537727
1.0,1.0,14.157377
1.0,1.25,11.518654
