arm,expert,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
designed,1,186000,133935,63,16921,29159,4887,1035,0
designed,2,28679,3,28675,0,0,0,0,1
designed,3,5897,0,0,0,0,0,5795,102
designed,4,1754,0,0,0,0,1754,0,0
matched_random,1,186000,133935,63,16921,29159,4887,1035,0
matched_random,2,28679,3,28675,0,0,0,0,1
matched_random,3,5897,0,0,0,0,0,5795,102
matched_random,4,1754,0,0,0,0,1754,0,0
balanced_random,1,186000,48383,28759,26083,48381,27335,6956,103
balanced_random,2,28679,4763,4763,4763,4763,4762,4762,103
balanced_random,3,5897,967,966,966,965,965,965,103
balanced_random,4,1754,276,276,276,275,274,274,103
