method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,4023110,1.0,1.0,1.0
realistic_oracle,seen_same_label,2004077,1.0,1.0,1.0
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,2019033,1.0,1.0,1.0
xgboost_full,all,4023110,0.9851726649283763,0.8466577996866461,0.675889398934605
xgboost_full,seen_same_label,2004077,0.9993588070717841,0.9565591491452273,0.8987590130965811
xgboost_full,seen_diff_label,0,,,
xgboost_full,unseen,2019033,0.9710916067246053,0.7651867215054037,0.5032900279584243
xgboost_c0,all,4023110,0.9888285430922843,0.7774460123054471,0.48542110837057817
xgboost_c0,seen_same_label,2004077,0.9965116110808118,0.8329571538784041,0.610890861429059
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,2019033,0.9812023874795509,0.7654573633643136,0.4595015960341104
tabpfn_plain,all,4023110,0.9965946742694085,0.8054911936446091,0.5508524915979439
tabpfn_plain,seen_same_label,2004077,0.9979232334885336,0.8418561371540012,0.6364096350692142
tabpfn_plain,seen_diff_label,0,,,
tabpfn_plain,unseen,2019033,0.9952759563612879,0.7296217753250728,0.37316669006436237
ours_c0,all,4023110,0.995766956409345,0.8140065765388655,0.5702010792743518
ours_c0,seen_same_label,2004077,0.9979676429598264,0.8491492898023225,0.6484488382282197
ours_c0,seen_diff_label,0,,,
ours_c0,unseen,2019033,0.9935825714587132,0.7787839772037969,0.48926989981987407
distpfn,all,4023110,0.9953165585827879,0.810568063614831,0.5713596019648048
distpfn,seen_same_label,2004077,0.9969207769960935,0.8210017076983018,0.6483964586693868
distpfn,seen_diff_label,0,,,
distpfn,unseen,2019033,0.9937242234277498,0.7764196698376035,0.4836675460341196
