Expert,Epoch,Accuracy,F1_Score
0,1,0.8647581186431927,0.8633882021173231
1,1,0.8883248730964467,0.83578953113913
2,1,1.0,1.0
3,1,0.2021340676361759,0.06797608087006114
0,5,0.9130246786101502,0.9123911065788467
1,5,0.8883248730964467,0.83578953113913
2,5,1.0,1.0
3,5,0.26262800103261336,0.10925382118878703
0,10,0.8875974495327585,0.8864661370873819
1,10,0.8883248730964467,0.83578953113913
2,10,1.0,1.0
3,10,0.26262800103261336,0.10925382118878703
0,15,0.8897916774226857,0.8886539594088131
1,15,0.8883248730964467,0.83578953113913
2,15,1.0,1.0
3,15,0.26262800103261336,0.10925382118878703
0,20,0.8809244153028034,0.879910604834607
1,20,0.8883248730964467,0.83578953113913
2,20,1.0,1.0
3,20,0.26262800103261336,0.10925382118878703
0,25,0.6371908720119779,0.5286498037021624
1,25,0.8883248730964467,0.83578953113913
2,25,1.0,1.0
3,25,0.26262800103261336,0.10925382118878703
0,30,0.8608214156642057,0.8602624315646932
1,30,0.8883248730964467,0.83578953113913
2,30,1.0,1.0
3,30,0.26262800103261336,0.10925382118878703
0,35,0.8580528163560328,0.8548606217066281
1,35,0.8883248730964467,0.83578953113913
2,35,1.0,1.0
3,35,0.26262800103261336,0.10925382118878703
0,40,0.8331741442511229,0.8275902831326177
1,40,0.8883248730964467,0.83578953113913
2,40,1.0,1.0
3,40,0.26262800103261336,0.10925382118878703
0,45,0.8959677835716867,0.894486954301769
1,45,0.8883248730964467,0.83578953113913
2,45,1.0,1.0
3,45,0.26262800103261336,0.10925382118878703
0,50,0.8980393928442356,0.8964809349155797
1,50,0.8883248730964467,0.83578953113913
2,50,1.0,1.0
3,50,0.26262800103261336,0.10925382118878703
