class,correctable_global_errors,scorer_recovered,scorer_recovery_rate,final_recovered
backdoor,26,0,0.0,0
benign,28918,0,0.0,0
ddos,2213,0,0.0,0
dos,505,0,0.0,0
injection,2530,0,0.0,0
mitm,91,0,0.0,0
password,391,0,0.0,0
ransomware,37,0,0.0,0
scanning,4956,1978,0.39911218724778047,1978
xss,36933,0,0.0,0
