expert,class,rows,helpful,harmful,neutral
1,backdoor,30130,8,0,30122
1,benign,100000,0,7187,92813
1,ddos,100000,19,136,99845
1,dos,17072,80,7,16985
1,injection,50363,1444,86,48833
1,mitm,822,0,0,822
1,password,100000,78,3789,96133
1,ransomware,539,4,0,535
1,scanning,4471,3166,1,1304
1,xss,100000,813,1032,98155
2,backdoor,30130,8,0,30122
2,benign,100000,0,755,99245
2,ddos,100000,86,25,99889
2,dos,17072,190,31,16851
2,injection,50363,531,85,49747
2,mitm,822,0,0,822
2,password,100000,166,121,99713
2,ransomware,539,5,0,534
2,scanning,4471,2870,1,1600
2,xss,100000,6288,428,93284
3,backdoor,30130,8,0,30122
3,benign,100000,0,658,99342
3,ddos,100000,26,71,99903
3,dos,17072,17,163,16892
3,injection,50363,495,258,49610
3,mitm,822,1,0,821
3,password,100000,76,307,99617
3,ransomware,539,5,0,534
3,scanning,4471,3837,1,633
3,xss,100000,5408,286,94306
4,backdoor,30130,8,0,30122
4,benign,100000,0,762,99238
4,ddos,100000,63,47,99890
4,dos,17072,790,0,16282
4,injection,50363,390,302,49671
4,mitm,822,0,0,822
4,password,100000,84,216,99700
4,ransomware,539,4,0,535
4,scanning,4471,3030,1,1440
4,xss,100000,3285,276,96439
5,backdoor,30130,8,0,30122
5,benign,100000,0,818,99182
5,ddos,100000,50,51,99899
5,dos,17072,19,67,16986
5,injection,50363,495,180,49688
5,mitm,822,0,0,822
5,password,100000,82,210,99708
5,ransomware,539,4,0,535
5,scanning,4471,2849,1,1621
5,xss,100000,6625,327,93048
6,backdoor,30130,8,0,30122
6,benign,100000,1,4708,95291
6,ddos,100000,78,350,99572
6,dos,17072,403,5,16664
6,injection,50363,280,2748,47335
6,mitm,822,0,0,822
6,password,100000,73,644,99283
6,ransomware,539,0,1,538
6,scanning,4471,3006,1,1464
6,xss,100000,8324,2,91674
7,backdoor,30130,8,0,30122
7,benign,100000,82,31,99887
7,ddos,100000,108,17,99875
7,dos,17072,21,61,16990
7,injection,50363,371,478,49514
7,mitm,822,0,0,822
7,password,100000,133,3,99864
7,ransomware,539,4,0,535
7,scanning,4471,3316,1,1154
7,xss,100000,4035,62,95903
