arm,split,rows,macro_f1,tail_f1,benign_fpr,accuracy,delta_macro_f1,delta_tail_f1,delta_benign_fpr,proposed,accepted,logical_expert_calls,diagnostic_all_expert_policy,changed,helpful,harmful
legacy,cal_confirm,51593,0.8011755189518455,0.8157627118644069,0.004184100418409997,0.915221057120152,0.03957645554411482,0.0,0.0,661,661,661,False,635,635,0
global,full_test,2271723,0.6820693521052773,0.09429707454535409,0.14708180549168348,0.8824839119910306,0.0,0.0,0.0,0,0,0,False,0,0,0
correctness_oracle,full_test,2271723,0.782111569051588,0.10367886730411233,0.12746709968513914,0.9162028116984333,0.10004221694631066,0.009381792758758237,-0.01961470580654434,0,76600,0,False,76600,76600,0
expert1_always,full_test,2271723,0.6321097345060721,0.03308068445922286,0.2948676729733799,0.7865584844631146,-0.0499596175992052,-0.06121639008613123,0.14778586748169642,0,325019,0,False,325019,35657,253573
expert2_always,full_test,2271723,0.6682220600896204,0.057906985335797814,0.19898908093457102,0.8620949825308808,-0.013847292015656931,-0.036390089209556276,0.051907275442887535,0,172686,0,False,172686,57183,103501
expert3_always,full_test,2271723,0.6717485091443142,0.07541734790784582,0.2053534486150056,0.8572893790308062,-0.01032084296096314,-0.018879726637508268,0.058271643123322114,0,182925,0,False,182925,54848,112083
expert4_always,full_test,2271723,0.6218531557833307,0.07891407223658202,0.19500889234363106,0.8593503697413813,-0.060216196321946636,-0.01538300230877207,0.047927086851947576,0,198538,0,False,198538,45645,98198
expert5_always,full_test,2271723,0.6729560085280546,0.03404819096887089,0.19448864615255224,0.8657587214638405,-0.00911334357722271,-0.0602488835764832,0.047406840660868754,0,177508,0,False,177508,59930,97925
expert6_always,full_test,2271723,0.6837612831726279,0.03240432826934905,0.2829074368752128,0.811459407683067,0.0016919310673505494,-0.06189274627600504,0.13582563138352932,0,301950,0,False,301950,66454,227802
expert7_always,full_test,2271723,0.6801755338109199,0.08736504718475228,0.1775436782965769,0.8712078893421425,-0.0018938182943574189,-0.006932027360601806,0.03046187280489343,0,116762,0,False,116762,42420,68036
legacy,full_test,2271723,0.7248882625414426,0.09429707454535409,0.14708180549168348,0.8833546167380442,0.04281891043616526,0.0,0.0,55869,55866,55869,False,1979,1978,0
