class,winner,rows
benign,benign,3019268
benign,tail,482429
ddos,flood,264733
brute_force,bf_bot,115040
bot,bf_bot,41418
dos,flood,39042
dos,bf_bot,21110
infiltration,benign,19156
infiltration,tail,18376
benign,flood,708
benign,bf_bot,521
dos,benign,442
web_attacks,tail,334
bot,tail,120
web_attacks,benign,118
ddos,tail,106
infiltration,flood,64
web_attacks,flood,39
infiltration,bf_bot,35
ddos,benign,30
web_attacks,bf_bot,18
bot,benign,4
ddos,bf_bot,3
