class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),_footer,delta_f1
dos-hulk,37982,0.999789285149871,0.0,0.9993681217418777,0.0,0.9995786590825302,0.0,,-0.9995786590825302
web-attack-�-xss,37837,0.6415251521948093,0.4625401781614473,0.5291645743584322,0.6655654518064329,0.5799527857835967,0.5457835764287726,,-0.03416920935482404
portscan,37813,0.9996033949393194,0.0,0.9998148784809457,0.0,0.9997091255255572,0.0,,-0.9997091255255572
ddos,37809,0.999947105339716,0.0,1.0,0.0,0.9999735519703782,0.0,,-0.9999735519703782
ftp-patator,37785,1.0,0.9849500508620465,0.9993912928410745,0.9993912928410745,0.9996955537612348,0.9921181230623719,,-0.007577430698862853
dos-slowloris,37784,0.9941048958443481,0.4229403967558581,0.9952625449925895,0.9964799915308067,0.9946833835899064,0.593836253805025,,-0.40084712978488135
heartbleed,37764,1.0,1.0,1.0,1.0,1.0,1.0,,0.0
infiltration,37762,1.0,0.6594254780406881,1.0,1.0,1.0,0.7947635935050038,,-0.2052364064949962
web-attack-�-brute-force,37703,0.4994275632964847,0.46286535697172976,0.7057793809511179,0.640532583614036,0.584938011078871,0.5373951356282961,,-0.047542875450574895
bot,37694,0.9995708154506437,0.5048619110122954,0.9885923489149466,1.0,0.9940512711073172,0.6709744027911282,,-0.323076868316189
benign,37693,0.9716365137946164,0.0,0.99880614437694,0.0,0.9850340136054422,0.0,,-0.9850340136054422
ssh-patator,37648,1.0,0.6913217525432443,1.0,1.0,1.0,0.8174928886283196,,-0.1825071113716804
web-attack-�-sql-injection,37598,1.0,0.929313860930202,0.24876323208681314,0.7514495451885739,0.3984153692147132,0.8309705882352941,,0.4325552190205809
dos-slowhttptest,37514,0.9976930092816139,0.47994052621371774,0.9914165378258784,0.9895239110731994,0.9945448711092095,0.6463751208002856,,-0.34816975030892394
dos-goldeneye,37491,0.6643011744668772,0.0,0.9987463657944573,0.0,0.7978946695504864,0.0,,-0.7978946695504864
macro avg,565877,0.9178399273172199,0.43987730076608195,0.8970070281576714,0.6028628517369417,0.8885647510252829,0.4953139788589665,True,-0.3932507721663164
weighted avg,565877,0.9179292535454217,0.4397006159584127,0.8970977791993666,0.6025832468893417,0.888719111682646,0.49511184755628185,True,-0.3936072641263641
