class,support,owned_expert,primary_bottleneck,baseline_recall,moe_recall,baseline_f1,moe_f1,delta_f1,benign_gate_rate,all_reject_rate,owned_accept_rate,owned_selected_rate,wrong_expert_selected_rate,local_acc_given_owned_selected,selected_but_wrong_rate,selected_minus_recall,multi_accept_rate,meta_router_rate,stability_tiebreak_rate,mean_owned_margin,mean_owned_stability,mean_owned_local_conf
benign,454537,benign_default,benign_false_accept,0.9987217762250378,0.9972147481943164,0.999346179331782,0.9985438347593912,-0.0008023445723908118,0.9972059480306333,8.800163683044505e-06,,,0.0027852518056835857,,0.0027852518056835857,,0.0024332452583618056,0.0014916277442760435,0.0,,,
infiltration,7,Rare_Micro,gate_reject,1.0,0.7142857142857143,0.9333333333333333,0.4166666666666667,-0.5166666666666666,0.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,1.6548908948898315,0.9997088313102722,0.9642734527587891
dos-hulk,46025,DoS_DDoS,ok,0.999369907658881,0.9959587180879956,0.9986213484731705,0.9946836212134363,-0.003937727259734181,0.0,0.0005866376969038566,0.9959587180879956,0.9959587180879956,0.003454644215100489,1.0,0.003454644215100489,0.0,0.6721129820749593,0.2907984790874525,0.0,6.055944442749023,0.6760923862457275,0.9997219443321228
ddos,25606,DoS_DDoS,ok,0.9999609466531282,0.9997266265718973,0.999648629655657,0.9988684251599813,-0.0007802044956757292,0.0,0.0,0.9997266265718973,0.9997266265718973,0.0002733734281027884,1.0,0.0002733734281027884,0.0,0.9998828399593845,0.14328672967273295,0.0,6.548417091369629,0.3386569619178772,0.9999482035636902
dos-goldeneye,2059,DoS_DDoS,ok,0.9985429820301117,0.9898008742107819,0.9894128970163619,0.9781617470602352,-0.01125114995612675,0.0,0.0,0.9907722195240408,0.9907722195240408,0.009227780475959204,0.9990196078431373,0.010199125789218067,0.0009713453132589311,0.7566779990286547,0.6556580864497329,0.0,5.670374393463135,0.9700248837471008,0.999351978302002
ftp-patator,1588,Scan_Brute,ok,0.9993702770780857,0.9924433249370277,0.9993702770780857,0.9962073324905183,-0.0031629445875673845,0.0,0.0031486146095717885,0.9924433249370277,0.9924433249370277,0.004408060453400504,1.0,0.004408060453400504,0.0,0.9943324937027708,0.9918136020151134,0.0,1.5276368856430054,0.3882284164428711,0.9999844431877136
bot,393,WebBot_Main,ok,0.989821882951654,0.9923664122137404,0.790650406504065,0.6136900078678206,-0.17696039863624446,0.007633587786259542,0.0,0.9923664122137404,0.9923664122137404,0.0,1.0,0.0,0.0,0.6157760814249363,0.21374045801526717,0.0,2.1921536922454834,0.992334246635437,0.9913893938064575
heartbleed,2,Rare_Micro,ok,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2717244625091553,0.8292697072029114,0.9647402763366699
portscan,31786,Scan_Brute,wrong_expert,0.9996853960863273,0.9832630717926131,0.9966283500870357,0.988331277867375,-0.008297072219660695,6.292078273453722e-05,0.00031460391367268606,0.9834518341408167,0.9832630717926131,0.016359403510979677,1.0,0.016359403510979677,0.0,0.9944629711193608,0.9786383942616246,0.0,2.3575446605682373,0.8977680802345276,0.9999179244041443
ssh-patator,1179,Scan_Brute,wrong_expert,1.0,0.23070398642917728,0.9995760915642221,0.3749138525155066,-0.6246622390487155,0.0,0.0,0.9711620016963528,0.23070398642917728,0.7692960135708228,1.0,0.7692960135708228,0.0,0.9804919423240034,0.9711620016963528,0.0,0.6127039790153503,0.9888361096382141,0.9999696612358093
dos-slowloris,1159,DoS_DDoS,wrong_expert,0.996548748921484,0.9603106125970664,0.9888698630136986,0.9750328515111695,-0.01383701150252914,0.0025884383088869713,0.0025884383088869713,0.9620362381363244,0.9603106125970664,0.03451251078515962,1.0,0.03451251078515962,0.0,0.7178602243313201,0.4400345125107852,0.0,3.645020008087158,0.5723108053207397,0.9943880438804626
dos-slowhttptest,1100,DoS_DDoS,wrong_expert,0.990909090909091,0.9827272727272728,0.9873188405797102,0.9840691852526172,-0.0032496553270929818,0.0009090909090909091,0.0009090909090909091,0.9845454545454545,0.9845454545454545,0.013636363636363636,0.9981532779316713,0.015454545454545455,0.0018181818181817189,0.39181818181818184,0.2081818181818182,0.0,3.9626145362854004,0.5602921843528748,0.9969130754470825
web-attack-�-brute-force,302,WebBot_Main,wrong_expert,0.7019867549668874,0.5298013245033113,0.729776247848537,0.186371578334304,-0.5434046695142329,0.0,0.0,0.956953642384106,0.8576158940397351,0.1423841059602649,0.6177606177606177,0.47019867549668876,0.32781456953642385,0.9536423841059603,0.10264900662251655,0.0,0.2835710644721985,0.9154374003410339,0.7488253116607666
web-attack-�-xss,130,WebBot_Main,wrong_expert,0.5230769230769231,0.5846153846153846,0.44299674267100975,0.25675675675675674,-0.186239985914253,0.0,0.0,0.9538461538461539,0.9384615384615385,0.06153846153846154,0.6229508196721312,0.4153846153846154,0.3538461538461538,0.9076923076923077,0.038461538461538464,0.0,0.18332135677337646,0.8326452374458313,0.6790582537651062
web-attack-�-sql-injection,4,Rare_Micro,wrong_expert,0.25,0.0,0.25,0.0,-0.25,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.5,0.0,1.8160901069641113,0.9972248077392578,0.9630988836288452
