split,arm,stage,rows,bank_correctable,helpful,harmful,changed,correctable_recovery,diagnostic_only,uses_all_expert_post_information
cal_select,legacy,top1_no_gates,81472,6025,5286,8390,13687,0.8773443983402489,True,False
cal_select,legacy,post_gt0_no_pre_gate,81472,6025,0,0,2,0.0,True,False
cal_select,legacy,original_final_policy,81472,6025,0,0,0,0.0,False,False
cal_select,post_z,top1_no_gates,81472,6025,5286,8390,13687,0.8773443983402489,True,False
cal_select,post_z,post_gt0_no_pre_gate,81472,6025,0,0,1,0.0,True,False
cal_select,post_z,original_final_policy,81472,6025,0,0,0,0.0,False,False
cal_select,post_raw,top1_no_gates,81472,6025,5286,8390,13687,0.8773443983402489,True,False
cal_select,post_raw,post_gt0_no_pre_gate,81472,6025,0,0,0,0.0,True,False
cal_select,post_raw,original_final_policy,81472,6025,0,0,0,0.0,False,False
cal_select,decision_post_raw,top1_no_gates,81472,6025,5286,8390,13687,0.8773443983402489,True,False
cal_select,decision_post_raw,post_gt0_no_pre_gate,81472,6025,2250,1590,3845,0.37344398340248963,True,False
cal_select,decision_post_raw,original_final_policy,81472,6025,0,0,0,0.0,False,False
cal_select,decision_both_raw,top1_no_gates,81472,6025,2793,2242,5043,0.46356846473029045,True,False
cal_select,decision_both_raw,post_gt0_no_pre_gate,81472,6025,2022,1205,3230,0.33560165975103734,True,False
cal_select,decision_both_raw,original_final_policy,81472,6025,0,0,0,0.0,False,False
cal_select,dense_decision_raw,top1_no_gates,81472,6025,3029,2487,5521,0.5027385892116183,True,True
cal_select,dense_decision_raw,post_gt0_no_pre_gate,81472,6025,2821,2211,5037,0.4682157676348548,True,True
cal_select,dense_decision_raw,original_final_policy,81472,6025,0,0,0,0.0,False,True
cal_confirm,legacy,top1_no_gates,33213,2530,2281,3383,5669,0.9015810276679842,True,False
cal_confirm,legacy,post_gt0_no_pre_gate,33213,2530,0,0,0,0.0,True,False
cal_confirm,legacy,original_final_policy,33213,2530,0,0,0,0.0,False,False
cal_confirm,post_z,top1_no_gates,33213,2530,2281,3383,5669,0.9015810276679842,True,False
cal_confirm,post_z,post_gt0_no_pre_gate,33213,2530,1,0,1,0.0003952569169960474,True,False
cal_confirm,post_z,original_final_policy,33213,2530,0,0,0,0.0,False,False
cal_confirm,post_raw,top1_no_gates,33213,2530,2281,3383,5669,0.9015810276679842,True,False
cal_confirm,post_raw,post_gt0_no_pre_gate,33213,2530,1,0,2,0.0003952569169960474,True,False
cal_confirm,post_raw,original_final_policy,33213,2530,0,0,0,0.0,False,False
cal_confirm,decision_post_raw,top1_no_gates,33213,2530,2281,3383,5669,0.9015810276679842,True,False
cal_confirm,decision_post_raw,post_gt0_no_pre_gate,33213,2530,838,564,1404,0.3312252964426877,True,False
cal_confirm,decision_post_raw,original_final_policy,33213,2530,0,0,0,0.0,False,False
cal_confirm,decision_both_raw,top1_no_gates,33213,2530,998,824,1824,0.39446640316205533,True,False
cal_confirm,decision_both_raw,post_gt0_no_pre_gate,33213,2530,669,419,1088,0.26442687747035576,True,False
cal_confirm,decision_both_raw,original_final_policy,33213,2530,0,0,0,0.0,False,False
cal_confirm,dense_decision_raw,top1_no_gates,33213,2530,1052,1069,2121,0.4158102766798419,True,True
cal_confirm,dense_decision_raw,post_gt0_no_pre_gate,33213,2530,952,963,1915,0.37628458498023715,True,True
cal_confirm,dense_decision_raw,original_final_policy,33213,2530,0,0,0,0.0,False,True
full_test,legacy,top1_no_gates,4023114,30663,23216,1519656,1543508,0.7571340051527901,True,False
full_test,legacy,post_gt0_no_pre_gate,4023114,30663,2229,194,2432,0.07269347421974366,True,False
full_test,legacy,original_final_policy,4023114,30663,0,0,0,0.0,False,False
full_test,post_z,top1_no_gates,4023114,30663,23216,1519656,1543508,0.7571340051527901,True,False
full_test,post_z,post_gt0_no_pre_gate,4023114,30663,2214,177,2404,0.07220428529498092,True,False
full_test,post_z,original_final_policy,4023114,30663,0,0,0,0.0,False,False
full_test,post_raw,top1_no_gates,4023114,30663,23216,1519656,1543508,0.7571340051527901,True,False
full_test,post_raw,post_gt0_no_pre_gate,4023114,30663,2238,177,2425,0.07298698757460131,True,False
full_test,post_raw,original_final_policy,4023114,30663,0,0,0,0.0,False,False
full_test,decision_post_raw,top1_no_gates,4023114,30663,23216,1519656,1543508,0.7571340051527901,True,False
full_test,decision_post_raw,post_gt0_no_pre_gate,4023114,30663,14434,579999,594965,0.47073019600169586,True,False
full_test,decision_post_raw,original_final_policy,4023114,30663,0,0,0,0.0,False,False
full_test,decision_both_raw,top1_no_gates,4023114,30663,18293,814302,833211,0.5965822000456577,True,False
full_test,decision_both_raw,post_gt0_no_pre_gate,4023114,30663,15808,632240,648638,0.5155399015099631,True,False
full_test,decision_both_raw,original_final_policy,4023114,30663,0,0,0,0.0,False,False
full_test,dense_decision_raw,top1_no_gates,4023114,30663,21211,894452,916253,0.6917457522095033,True,True
full_test,dense_decision_raw,post_gt0_no_pre_gate,4023114,30663,20315,824998,845893,0.6625248671036754,True,True
full_test,dense_decision_raw,original_final_policy,4023114,30663,0,0,0,0.0,False,True
