K,beta,tune_expert_balanced_nll
2,0.0,1.459884
2,0.5,2.809911
2,1.0,5.562351
4,0.0,1.218494
4,0.5,2.74786
4,1.0,6.040062
8,0.0,1.006117
8,0.5,2.56832
8,1.0,5.886302
