dataset,rows,unique_vectors,dup_rate,n_classes,n_scenarios,rows_in_mixed_label_groups,frac_mixed,hash_majority_macro_f1,ts_unique,ts_min,ts_max,chrono_test_rows,chrono_test_seen_in_train,chrono_test_seen_with_other_train_label
bot_iot,16933808,669506,0.9604633523658707,5,5,1034125,0.06106866216978485,0.8005273842081403,458563,1526344031665,1529381833932,3386763,0.09648327916656702,0.008603790699260622
ton_iot,27520260,4087189,0.8514843609762408,10,10,16712972,0.6072970240833481,0.914958934799541,12299784,1556028590618,1556549155177,5504057,0.7694137251848955,0.07456263625176847
unsw_nb15,2365424,1061597,0.5512022368928362,10,10,31469,0.013303745966896421,0.9575398834027966,1893404,1421927376907,1424262564927,473090,0.5735906487137754,0.00317275782620643
cse_cic_ids2018,20115529,8805692,0.5622440752117431,7,15,5360112,0.2664663703350779,0.8349318103582927,15843427,1518611287705,1520021065524,4023110,0.4981412389917253,0.011727494401097658
