dataset,cls,rows,clean_rows,clean_share,ceil_majority_f1,ceil_rarest_f1,ceil_majority_f1_test,ceil_rarest_f1_test,test_rows
bot_iot,benign,51989,18795,0.36151878281944255,0.5517687543014453,0.1288510129956392,0.8510522000546598,0.1739537762758367,10398
bot_iot,ddos,7150882,7036752,0.9840397310429678,0.9923844323783175,0.9890041177420431,0.9985445650405153,0.9984490094850244,1430177
bot_iot,dos,8034190,7775574,0.967810569578265,0.9904909921026653,0.9836420075593791,0.9983850544811008,0.9904142514850794,1606838
bot_iot,reconnaissance,1695132,1068039,0.6300624376154778,0.9787504597512575,0.7730685229450264,0.9970786212739918,0.8801836392611493,339027
bot_iot,theft,1615,523,0.3238390092879257,0.4892422825070159,0.11936878672530396,0.400990099009901,0.9817629179331308,323
ton_iot,backdoor,203384,200688,0.9867442866695512,0.9993727909327705,0.5094020605128488,0.999298987836824,0.17586556569607417,40677
ton_iot,benign,16792214,6446120,0.38387552707463113,0.9641417948679025,0.5547833162222386,0.9444234726080968,0.6101299799865253,3358443
ton_iot,ddos,4141256,925247,0.2234218314443734,0.9860919347674623,0.3642921044060013,0.9928790551167781,0.24306862290819214,828252
ton_iot,dos,203456,113655,0.5586220116388801,0.8303114490422576,0.6062575819302818,0.8309025963941323,0.6470179183647067,40692
ton_iot,injection,381777,341263,0.8938804590114124,0.9654637820323689,0.1567823996575326,0.9703715126687094,0.14191114278926112,76356
ton_iot,mitm,6013,5446,0.9057043073341094,0.950816852966466,0.008611263670363176,0.9715481171548117,0.0017550463052117436,1203
ton_iot,password,1594777,1061699,0.6657350839647174,0.9787040016009483,0.9715909802454241,0.9071944706251963,0.897242592143755,318956
ton_iot,ransomware,3971,3604,0.9075799546713674,0.9585347239888069,0.017559219806410818,0.9120679199514857,0.16708701134930642,795
ton_iot,scanning,1358977,39069,0.0287488309220833,0.5352313375890133,0.25759349501655443,0.04482930986741083,0.9830305279762457,271796
ton_iot,xss,2834435,1670497,0.589358020205085,0.9809206802074134,0.7771028235648069,0.9568304755185575,0.7823785103374672,566887
unsw_nb15,analysis,1226,1226,1.0,1.0,1.0,1.0,1.0,246
unsw_nb15,backdoor,4659,3471,0.7450096587250483,0.8530771101921674,0.3000932661816825,0.768125408229915,0.3294663573085847,932
unsw_nb15,benign,2237731,2237731,1.0,1.0,1.0,1.0,1.0,447547
unsw_nb15,dos,5980,5329,0.8911371237458194,0.9436336625010924,0.9265479219677693,0.9758576874205845,0.9569142388182191,1196
unsw_nb15,exploits,42748,39850,0.9322073547300459,0.967495905607823,0.9649144047071357,0.9727164887307236,0.9734045746532989,8550
unsw_nb15,fuzzers,33816,26940,0.7966643009226402,0.9335267371474797,0.8924234317492744,0.9524013722126929,0.8706134918668978,6764
unsw_nb15,generic,19651,5595,0.28471833494478654,0.9805453392517438,0.480145746579417,0.9625774473358116,0.424312814556717,3931
unsw_nb15,reconnaissance,17074,11650,0.682324001405646,0.9652943992340833,0.7881102077092729,0.9726614452490026,0.8138152610441767,3415
unsw_nb15,shellcode,2381,2013,0.8454430911381773,0.9577997060676045,0.3825821483088294,0.9484752891692955,0.4103225806451613,477
unsw_nb15,worms,158,150,0.9493670886075949,0.974025974025974,0.9239766081871345,0.967741935483871,0.9142857142857143,32
cse_cic_ids2018,benign,17514626,12798328,0.7307223117410557,0.9970046947022352,0.8444131179033227,0.9971570159260073,0.8617863248682521,3502926
cse_cic_ids2018,bot,207703,207703,1.0,1.0,1.0,1.0,1.0,41541
cse_cic_ids2018,brute_force,575194,188414,0.32756600381784234,0.9159592272866973,0.49348356748488753,0.9159593611159769,0.4936032579517331,115039
cse_cic_ids2018,ddos,1324350,1316025,0.9937138973836221,0.9996467439301097,0.9996467439301097,0.9997414504066022,0.9997414504066022,264871
cse_cic_ids2018,dos,302966,197415,0.6516077711690421,0.7890587372422214,0.6103798378786215,0.7890524296291855,0.6104204863699555,60594
cse_cic_ids2018,infiltration,188152,46761,0.24852778604532505,0.6525381493699124,0.07433929303185297,0.6628896165774382,0.08171150263132089,37631
cse_cic_ids2018,web_attacks,2538,771,0.3037825059101655,0.49031511997687194,0.10116188692030213,0.44411326378539495,0.11196826096539564,508
