dataset,cls,rows_all,rows_test,ceil_maxf1_all,ceil_majority_all,ceil_maxf1_test,ceil_majority_test,test_rows_in_test_internal_conflict,test_rows_conflicting_with_train_label
cse_cic_ids2018,benign,17514626,3502926,0.9970050776729932,0.9970046947022352,0.9974433548015204,0.9974429513531251,0.1910311550971959,0.002356601309876372
cse_cic_ids2018,bot,207703,41541,1.0,1.0,1.0,1.0,0.0,0.0
cse_cic_ids2018,brute_force,575194,115039,0.9159592272866973,0.9159592272866973,0.9159593611159769,0.9159593611159769,0.6723285146776311,0.0
cse_cic_ids2018,ddos,1324350,264871,0.9996467439301097,0.9996467439301097,0.9997414504066022,0.9997414504066022,0.008275726674494376,0.0
cse_cic_ids2018,dos,302966,60594,0.7890595803614431,0.7890587372422214,0.7890645296668598,0.7890645296668598,0.3483843284813678,0.34840083176552133
cse_cic_ids2018,infiltration,188152,37631,0.6587017098813691,0.6525381493699124,0.7084532844805025,0.7058803881289978,0.4824214078817996,0.4952299965454014
cse_cic_ids2018,web_attacks,2538,508,0.5278443113772455,0.49031511997687194,0.6232227488151659,0.5864864864864865,0.59251968503937,0.3031496062992126
ton_iot,backdoor,203384,40677,0.9993728094447519,0.9993727909327705,0.9993113455815441,0.9993113117052415,0.014996189492833788,0.0011308601912628758
ton_iot,benign,16792214,3358443,0.9641893374551576,0.9641417948679025,0.9863450298367619,0.9863173058920196,0.5573305844404683,0.03321985813068735
ton_iot,ddos,4141256,828252,0.9861012078305268,0.9860919347674623,0.9936848815666275,0.9936713407665749,0.8680631015681218,0.016091720877220942
ton_iot,dos,203456,40692,0.8311022948225504,0.8303114490422576,0.903240414612056,0.9015761998885004,0.3200137619188047,0.2805465447753858
ton_iot,injection,381777,76356,0.9660296497841061,0.9654637820323689,0.9733295901179113,0.9732097477463018,0.06715909686206716,0.05534601079155534
ton_iot,mitm,6013,1203,0.9526274915868496,0.950816852966466,0.9866220735785953,0.9865433137089992,0.02660016625103907,0.032418952618453865
ton_iot,password,1594777,318956,0.9787310207135668,0.9787040016009483,0.9218628431699455,0.9203051463168517,0.3363880911473683,0.0012039278144947894
ton_iot,ransomware,3971,795,0.959103070454835,0.9585347239888069,0.9486011711125569,0.9483322432962721,0.1069182389937107,0.013836477987421384
ton_iot,scanning,1358977,271796,0.5626870373865475,0.5352313375890133,0.9996375391669289,0.9996375351655287,0.025945930035762114,0.9776486776847342
ton_iot,xss,2834435,566887,0.9809893686930565,0.9809206802074134,0.9638595834220406,0.9635635927322592,0.3721958697235957,0.006108801224935481
bot_iot,benign,51989,10398,0.5561143427393411,0.5517687543014453,0.8544080056561701,0.8542483660130719,0.27572610117330254,0.2508174648970956
bot_iot,ddos,7150882,1430177,0.9923844890278098,0.9923844323783175,0.9985449480863513,0.9985449144796057,0.0035960583899755064,5.59371322570563e-06
bot_iot,dos,8034190,1606838,0.9904914526355068,0.9904909921026653,0.9983912955913543,0.9983912865915477,0.018980133653797086,0.01627917686786098
bot_iot,reconnaissance,1695132,339027,0.9787507617992262,0.9787504597512575,0.9975569049812647,0.9975569049812647,0.006692682293740616,0.00034510525710341653
bot_iot,theft,1615,323,0.4892422825070159,0.4892422825070159,0.9817629179331308,0.9817629179331308,0.7492260061919505,0.7492260061919505
unsw_nb15,analysis,1226,246,1.0,1.0,1.0,1.0,0.0,0.0
unsw_nb15,backdoor,4659,932,0.8545899632802938,0.8530771101921674,0.7977667493796526,0.7965260545905707,0.3487124463519313,0.3948497854077253
unsw_nb15,benign,2237731,447547,1.0,1.0,1.0,1.0,0.0,0.0
unsw_nb15,dos,5980,1196,0.9447508974695736,0.9436336625010924,0.9819706498951782,0.9814345991561182,0.03678929765886288,0.04096989966555184
unsw_nb15,exploits,42748,8550,0.9678360126695751,0.967495905607823,0.980021279111006,0.9799668089141773,0.040584795321637425,0.038011695906432746
unsw_nb15,fuzzers,33816,6764,0.9347719186601486,0.9335267371474797,0.9646435728600057,0.9643294660229156,0.1865759905381431,0.08146067415730338
unsw_nb15,generic,19651,3931,0.9806494098576567,0.9805453392517438,0.9658753709198813,0.96575682382134,0.7196642075807682,0.010684304248282879
unsw_nb15,reconnaissance,17074,3415,0.9654987006004122,0.9652943992340833,0.9774392030471726,0.977038563438328,0.2635431918008785,0.03367496339677892
unsw_nb15,shellcode,2381,477,0.9593047901653243,0.9577997060676045,0.9531737773152965,0.9524815205913411,0.11530398322851153,0.06289308176100629
unsw_nb15,worms,158,32,0.974025974025974,0.974025974025974,0.967741935483871,0.967741935483871,0.0625,0.0625
