class,test_n,P,R,F1,F1_clean_rows_only,ceil_majority,ceil_rarest
analysis,246,0.21663019693654267,0.4024390243902439,0.28165007112375534,0.28165007112375534,1.0,1.0
backdoor,932,0.03278688524590164,0.004291845493562232,0.007590132827324478,0.011799410029498525,0.768125408229915,0.3294663573085847
benign,447547,1.0,0.9999888279890157,0.9999944139633042,0.9999944139633042,1.0,1.0
dos,1196,0.7125307125307125,0.24247491638795987,0.3618215845290081,0.3701765860039241,0.9758576874205845,0.9569142388182191
exploits,8550,0.7221579069228988,0.7295906432748538,0.7258552478473353,0.7603948180135719,0.9727164887307236,0.9734045746532989
fuzzers,6764,0.669202397418165,0.858367829686576,0.7520725388601036,0.7718744811555703,0.9524013722126929,0.8706134918668978
generic,3931,0.8218923933209648,0.9015517679979649,0.8598811112459056,0.5904669260700389,0.9625774473358116,0.424312814556717
reconnaissance,3415,0.8122950819672131,0.5803806734992679,0.6770281810418446,0.579466929911155,0.9726614452490026,0.8138152610441767
shellcode,477,0.7473002159827213,0.7253668763102725,0.7361702127659574,0.7452054794520548,0.9484752891692955,0.4103225806451613
worms,32,0.696969696969697,0.71875,0.7076923076923077,0.7301587301587301,0.967741935483871,0.9142857142857143
