class,test_n,P,R,F1,F1_clean_rows_only,ceil_majority,ceil_rarest
analysis,246,0.21465428276573786,0.8455284552845529,0.34238683127572017,0.34238683127572017,1.0,1.0
backdoor,932,0.017994858611825194,0.0075107296137339056,0.010598031794095382,0.014861995753715499,0.768125408229915,0.3294663573085847
benign,447547,1.0,0.9999888279890157,0.9999944139633042,0.9999944139633042,1.0,1.0
dos,1196,0.47368421052631576,0.3536789297658863,0.40497845859262804,0.41066935078007044,0.9758576874205845,0.9569142388182191
exploits,8550,0.784522641244918,0.6545029239766081,0.7136389721354333,0.7507466739071409,0.9727164887307236,0.9734045746532989
fuzzers,6764,0.6941896024464832,0.8390005913660555,0.7597563424593347,0.7804498269896194,0.9524013722126929,0.8706134918668978
generic,3931,0.8046289993192648,0.9020605443907402,0.8505636843367714,0.5682554372975475,0.9625774473358116,0.424312814556717
reconnaissance,3415,0.7101449275362319,0.6169838945827233,0.660294578502037,0.5679282432728068,0.9726614452490026,0.8138152610441767
shellcode,477,0.6514084507042254,0.7756813417190775,0.7081339712918661,0.7060240963855422,0.9484752891692955,0.4103225806451613
worms,32,0.6170212765957447,0.90625,0.7341772151898734,0.782608695652174,0.967741935483871,0.9142857142857143
