class_id,class_name,is_tail,beta,base_prec,base_recall,base_f1,moe_prec,moe_recall,moe_f1,delta_f1
0,analysis,True,0.5,0.9607843137254902,0.09158878504672897,0.16723549488054607,0.9272727272727272,0.09532710280373832,0.17288135593220338,0.005645861051657319
1,backdoor,True,0.5,0.7916666666666666,0.0815450643776824,0.14785992217898833,0.8181818181818182,0.07725321888412018,0.1411764705882353,-0.006683451590753037
2,dos,True,0.9,0.4806110458284371,0.1250382146132681,0.19844735565259583,0.3556636553161918,0.7823295628248242,0.48901203898337475,0.2905646833307789
3,exploits,False,,0.6273369017143744,0.9081414935429534,0.7420627638098733,0.8342532467532467,0.5770915216170691,0.6822436110189181,-0.05981915279095529
4,fuzzers,True,0.7,0.7141740489838457,0.5652711899360693,0.6310579026131,0.5872571872571872,0.7793359455557847,0.6697979439914924,0.038740041378392376
5,generic,False,,0.9950086058519794,0.9819942245625956,0.9884585791228521,0.9965490466741437,0.9810599626295227,0.9887438476353521,0.0002852685124999921
6,normal,False,,0.906320426142184,0.9513440860215053,0.928286643584094,0.9509442653155228,0.8879569892473118,0.9183718861209964,-0.009914757463097557
7,reconnaissance,True,0.1,0.9183411714407866,0.7676912080057183,0.8362857699046136,0.911504424778761,0.7730521801286633,0.8365886675691355,0.00030289766452196165
8,shellcode,True,0.1,0.6194690265486725,0.695364238410596,0.6552262090483619,0.6819787985865724,0.6390728476821192,0.6598290598290598,0.004602850780697887
9,worms,True,0.2,0.5,0.4857142857142857,0.4927536231884058,0.5483870967741935,0.4857142857142857,0.5151515151515151,0.022397891963109318
