Expert,Epoch,Accuracy,F1_Score
0,1,0.8754840208580722,0.8743319217633864
1,1,0.49921011058451814,0.33245604835554843
2,1,0.22727272727272727,0.08417508417508417
3,1,1.0,1.0
4,1,0.2230769230769231,0.08137397194000967
0,5,0.8531932469409882,0.8507626957762034
1,5,0.49921011058451814,0.33245604835554843
2,5,0.6363636363636364,0.494949494949495
3,5,1.0,1.0
4,5,0.15783475783475784,0.043031720393925124
0,10,0.8831831793071403,0.8821617447130958
1,10,0.49921011058451814,0.33245604835554843
2,10,0.22727272727272727,0.08417508417508417
3,10,1.0,1.0
4,10,0.28983855650522317,0.13025876519716403
0,15,0.8885783984717848,0.8874782150928334
1,15,0.49921011058451814,0.33245604835554843
2,15,0.6363636363636364,0.494949494949495
3,15,1.0,1.0
4,15,0.28983855650522317,0.13025876519716403
0,20,0.889062419329857,0.8879423764526148
1,20,0.49921011058451814,0.33245604835554843
2,20,0.22727272727272727,0.08417508417508417
3,20,1.0,1.0
4,20,0.28983855650522317,0.13025876519716403
0,25,0.611111828179049,0.5054091035933872
1,25,0.49921011058451814,0.33245604835554843
2,25,0.6363636363636364,0.494949494949495
3,25,1.0,1.0
4,25,0.28983855650522317,0.13025876519716403
0,30,0.8888752645980691,0.8876810282936209
1,30,0.49921011058451814,0.33245604835554843
2,30,0.22727272727272727,0.08417508417508417
3,30,1.0,1.0
4,30,0.28983855650522317,0.13025876519716403
0,35,0.8821570550880272,0.8803473058248097
1,35,0.49921011058451814,0.33245604835554843
2,35,0.22727272727272727,0.08417508417508417
3,35,1.0,1.0
4,35,0.28983855650522317,0.13025876519716403
0,40,0.906713046620889,0.9057847709332437
1,40,0.49921011058451814,0.33245604835554843
2,40,0.22727272727272727,0.08417508417508417
3,40,1.0,1.0
4,40,0.28983855650522317,0.13025876519716403
0,45,0.8917019464092106,0.8902230877330327
1,45,0.49921011058451814,0.33245604835554843
2,45,0.22727272727272727,0.08417508417508417
3,45,1.0,1.0
4,45,0.28983855650522317,0.13025876519716403
0,50,0.9064484485518096,0.905456218206497
1,50,0.49921011058451814,0.33245604835554843
2,50,0.22727272727272727,0.08417508417508417
3,50,1.0,1.0
4,50,0.28983855650522317,0.13025876519716403
