round,gamma,seconds,macro_f1,tail_f1,f1_benign,f1_bot,f1_brute_force,f1_ddos,f1_dos,f1_infiltration,f1_web_attacks
1,0.6328724569817498,1.5991771221160889,0.5901253623541811,0.3308861400758632,0.7944056612414431,0.9917602087251988,0.8718042621464197,0.9759055546050182,0.49610363825879783,0.0008982115023908277,0.0
2,0.22420856770927622,1.4597690105438232,0.605771911289323,0.3306221416782377,0.7817214813656095,0.9917602087251988,0.9042293900326938,0.9824140929959752,0.5801719895962697,0.00010621630951432593,0.0
3,0.24633610711761558,1.4509735107421875,0.6092281451270878,0.3305867362417329,0.7866160473670751,0.9917602087251988,0.9042784593747598,0.9825039488491565,0.5994383515734245,0.0,0.0
4,0.8132728237914499,1.4735620021820068,0.6854340346359739,0.44980802601287895,0.8373851971907077,0.9902407603213379,0.9043807042775863,0.9853472979484188,0.721500964996467,0.35918331771729894,0.0
5,0.5145404799429873,1.4673571586608887,0.6910575010531196,0.4506271329269131,0.8472987802036243,0.9913562861166416,0.9044011560327633,0.990067612944925,0.7437535594097852,0.3605251126640977,0.0
6,0.1780087567891426,1.4595134258270264,0.6911495540249611,0.4506271329269131,0.84746624628137,0.9913562861166416,0.9044011560327633,0.9901543992163911,0.7441436778634646,0.3605251126640977,0.0
7,0.046737739390695025,1.4560201168060303,0.6914168128971864,0.4506271329269131,0.8479046181503654,0.9913562861166416,0.9044011560327633,0.9902257764853185,0.7455047408311188,0.3605251126640977,0.0
8,0.21606094161026074,1.577789068222046,0.6140144825638147,0.44962824880218283,0.8472579989154013,0.9883596337424508,0.4934730372033113,0.9902155803503812,0.6182700150710608,0.3605251126640977,0.0
9,0.3786209968023895,1.5993666648864746,0.61375262198389,0.4479985604891321,0.8475083380303178,0.9834705688032985,0.4934730372033113,0.991645953808225,0.6196453433779802,0.3605251126640977,0.0
10,-0.14327013307886785,2.4496517181396484,0.6135806559864706,0.44847051570295143,0.8466723116003387,0.9848864344447567,0.4934730372033113,0.9899144979722939,0.6195931980204966,0.3605251126640977,0.0
