round,n_sampled,n_classes_present,ess_w,n_benign,n_bot,n_brute_force,n_ddos,n_dos,n_infiltration,n_web_attacks,wmass_benign,wmass_bot,wmass_brute_force,wmass_ddos,wmass_dos,wmass_infiltration,wmass_web_attacks
1,500,6,180000.0,427,4,23,37,8,1,0,0.8707,0.01032222222222222,0.028594444444444443,0.0658388888888889,0.015061111111111114,0.009355555555555554,0.00012777777777777774
2,500,7,171031.0470584655,428,3,14,35,10,9,1,0.8436430229494473,0.01030268909032315,0.027401470715506845,0.06541980910020614,0.029233396914382884,0.02368090776028158,0.00031870346970294764
3,500,7,118356.39275115595,381,3,16,43,20,36,1,0.7831040845998394,0.009723567252426575,0.025137594899870653,0.06398489735649045,0.05881971732221094,0.05844529352981744,0.0007848450391899326
4,500,7,44855.36404271415,339,3,6,32,62,57,1,0.6623523727975127,0.008561446568355207,0.02110596421598121,0.06043748427981024,0.11499769145537071,0.13076358269976235,0.0017814579833167529
5,500,6,15078.651384118215,249,2,10,30,87,122,0,0.4936556794895234,0.0071086053471802885,0.016099838451295947,0.057460326032543016,0.1848432580479485,0.2372924889544401,0.0035398036770305074
6,500,7,6471.445640813608,165,4,5,29,100,195,2,0.31022292013126385,0.005734433637153589,0.011652998891722428,0.05236285204165236,0.23275433784741464,0.38128515721382655,0.005987300236980367
7,500,7,3733.8055290716798,87,5,1,29,119,254,5,0.16534323679726484,0.00484086511670718,0.007832078441382957,0.04897389786680151,0.2334618816913322,0.531043097464696,0.00850494262177568
8,500,7,2669.04817115553,46,2,5,17,113,313,4,0.07874693941794399,0.004477825160184264,0.004897119498548727,0.04796776735941728,0.20044000325730232,0.6529434712983206,0.010526874008285746
9,500,7,2121.781730754243,14,2,3,23,81,370,7,0.036955134278238745,0.004525736784098537,0.0034310482459498463,0.04945645995064699,0.14191414773319708,0.751591262545944,0.012126210461920051
10,500,7,1824.6353050441037,12,1,1,31,45,406,4,0.024579551091584932,0.0047730123406531585,0.0030371174277379273,0.05114094698970671,0.08496485485477467,0.8187989344179403,0.012705582877613603
